candidateId,speciesId,commonName,scientificName,stage,used,reason,isReferenceIllustration,localPath,stagingPath,source,sourceUrl,imageUrl,license,author,retrievedAt,approvedAt
wikimedia-commons-6714a89886,atlantic-salmon,Atlantic Salmon,Salmo salar,adult,true,,true,./images/species/atlantic-salmon/adult-1.jpg,staging/images/atlantic-salmon/adult/wikimedia-commons-6714a89886.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASalmo_salar_(crop).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Salmo_salar_%28crop%29.jpg/1280px-Salmo_salar_%28crop%29.jpg,Public domain,"Knepp, Timothy",2026-07-23T15:29:04.320Z,2026-07-24T12:33:29.427Z
wikimedia-commons-3baf67ba1d,atlantic-salmon,Atlantic Salmon,Salmo salar,adult,true,,false,./images/species/atlantic-salmon/adult-2.jpg,staging/images/atlantic-salmon/unknown/wikimedia-commons-3baf67ba1d.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASalmo_trutta_Trout_Aquarium_Atlanterhavsparken_Norway.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Salmo_trutta_Trout_Aquarium_Atlanterhavsparken_Norway.jpg/1280px-Salmo_trutta_Trout_Aquarium_Atlanterhavsparken_Norway.jpg,CC BY-SA 2.5,Hans-Petter Fjeld,2026-07-23T15:29:37.433Z,2026-07-24T12:34:20.643Z
gbif-9a7c41fede,atlantic-salmon,Atlantic Salmon,Salmo salar,adult,true,,false,./images/species/atlantic-salmon/adult-3.jpg,staging/images/atlantic-salmon/unknown/gbif-9a7c41fede.jpg,gbif,https://www.gbif.org/occurrence/6129931364,https://inaturalist-open-data.s3.amazonaws.com/photos/608269724/original.jpg,CC BY-NC 4.0,Will Earley,2026-07-23T15:31:12.073Z,2026-07-24T12:35:15.371Z
gbif-877c45e170,atlantic-salmon,Atlantic Salmon,Salmo salar,adult,true,,false,./images/species/atlantic-salmon/adult-4.jpg,staging/images/atlantic-salmon/adult/gbif-877c45e170.jpg,gbif,https://www.gbif.org/occurrence/6195629677,https://inaturalist-open-data.s3.amazonaws.com/photos/636163687/original.jpg,CC BY-NC 4.0,J. Burke Korol,2026-07-23T15:32:12.474Z,2026-07-24T13:07:39.808Z
gbif-a4100437e7,atlantic-salmon,Atlantic Salmon,Salmo salar,adult,true,,false,./images/species/atlantic-salmon/adult-5.jpg,staging/images/atlantic-salmon/adult/gbif-a4100437e7.jpg,gbif,https://www.gbif.org/occurrence/6273419697,https://inaturalist-open-data.s3.amazonaws.com/photos/654771745/original.jpg,CC BY-NC 4.0,kristen_towne,2026-07-23T15:32:44.368Z,2026-07-24T12:33:08.004Z
gbif-9529cd5daa,atlantic-salmon,Atlantic Salmon,Salmo salar,juvenile,true,,false,./images/species/atlantic-salmon/juvenile-1.jpg,staging/images/atlantic-salmon/juvenile/gbif-9529cd5daa.jpg,gbif,https://www.gbif.org/occurrence/6185226819,https://inaturalist-open-data.s3.amazonaws.com/photos/625486783/original.jpg,CC BY-NC 4.0,donnymidas,2026-07-23T15:31:48.133Z,2026-07-24T12:33:39.524Z
gbif-958dcaf21c,atlantic-salmon,Atlantic Salmon,Salmo salar,juvenile,true,,false,./images/species/atlantic-salmon/juvenile-2.jpg,staging/images/atlantic-salmon/juvenile/gbif-958dcaf21c.jpg,gbif,https://www.gbif.org/occurrence/6195845993,https://inaturalist-open-data.s3.amazonaws.com/photos/636523102/original.jpg,CC BY-NC 4.0,guybroome,2026-07-23T15:32:16.119Z,2026-07-24T12:34:00.827Z
wikimedia-commons-8687e2819e,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,true,./images/species/brook-trout/adult-1.jpg,staging/images/brook-trout/adult/wikimedia-commons-8687e2819e.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ABrook_trout.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Brook_trout.jpg/1280px-Brook_trout.jpg,Public domain,"Raver, Duane. Cropped by Siebrand",2026-07-23T15:34:45.675Z,2026-07-24T13:08:38.547Z
wikimedia-commons-b5c87519f4,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,true,./images/species/brook-trout/adult-2.jpg,staging/images/brook-trout/adult/wikimedia-commons-b5c87519f4.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ABrook_trout_freshwater_fish.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Brook_trout_freshwater_fish.jpg,Public domain,"Duane Raver, U.S. Fish and Wildlife Service",2026-07-23T15:34:52.403Z,2026-07-24T13:08:40.243Z
wikimedia-commons-2cda83abc8,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,true,./images/species/brook-trout/adult-3.jpg,staging/images/brook-trout/adult/wikimedia-commons-2cda83abc8.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AArtwork_of_brook_trout_fish_3_fish_underwater.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Artwork_of_brook_trout_fish_3_fish_underwater.jpg/1280px-Artwork_of_brook_trout_fish_3_fish_underwater.jpg,Public domain,"Robert W. Hines, U.S. Fish and Wildlife Service",2026-07-23T15:34:57.431Z,2026-07-24T13:09:00.765Z
wikimedia-commons-31063b7965,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,false,./images/species/brook-trout/adult-4.jpg,staging/images/brook-trout/unknown/wikimedia-commons-31063b7965.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASalvelinus_fontinalis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Salvelinus_fontinalis.jpg/1280px-Salvelinus_fontinalis.jpg,Public domain,"Engbretson, Eric",2026-07-23T15:36:40.401Z,2026-07-24T13:09:14.060Z
wikimedia-commons-a06c236f7c,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,false,./images/species/brook-trout/adult-5.jpg,staging/images/brook-trout/unknown/wikimedia-commons-a06c236f7c.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ABrook_trout_in_water.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Brook_trout_in_water.jpg,Public domain,Jay Fleming (US Nat'l Park Svc),2026-07-23T15:37:50.701Z,2026-07-24T13:09:22.019Z
gbif-22392bef32,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,false,./images/species/brook-trout/adult-6.jpg,staging/images/brook-trout/adult/gbif-22392bef32.jpg,gbif,https://www.gbif.org/occurrence/6130242785,https://inaturalist-open-data.s3.amazonaws.com/photos/606503006/original.jpg,CC BY-NC 4.0,Claire,2026-07-23T15:40:43.564Z,2026-07-24T13:08:50.756Z
gbif-847f051b6a,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,false,./images/species/brook-trout/adult-7.jpg,staging/images/brook-trout/adult/gbif-847f051b6a.jpg,gbif,https://www.gbif.org/occurrence/6130447267,https://inaturalist-open-data.s3.amazonaws.com/photos/608769048/original.jpg,CC BY-NC 4.0,Dargan Jaeger,2026-07-23T15:40:59.396Z,2026-07-24T13:09:03.674Z
gbif-6266766582,brook-trout,Brook Trout,Salvelinus fontinalis,adult,true,,false,./images/species/brook-trout/adult-8.jpg,staging/images/brook-trout/adult/gbif-6266766582.jpg,gbif,https://www.gbif.org/occurrence/6130447267,https://inaturalist-open-data.s3.amazonaws.com/photos/608769069/original.jpg,CC BY-NC 4.0,Dargan Jaeger,2026-07-23T15:41:11.416Z,2026-07-24T13:08:46.764Z
gbif-b1bd2fb15e,brook-trout,Brook Trout,Salvelinus fontinalis,parr,true,,false,./images/species/brook-trout/parr-1.jpg,staging/images/brook-trout/unknown/gbif-b1bd2fb15e.jpg,gbif,https://www.gbif.org/occurrence/5938398833,https://inaturalist-open-data.s3.amazonaws.com/photos/605650527/original.jpg,CC BY-NC 4.0,Andrea M,2026-07-23T15:40:35.431Z,2026-07-24T13:09:43.403Z
wikimedia-commons-6e913462df,brown-trout,Brown Trout,Salmo trutta,adult,true,,true,./images/species/brown-trout/adult-1.jpg,staging/images/brown-trout/adult/wikimedia-commons-6e913462df.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ABachforelle_Zeichnung.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Bachforelle_Zeichnung.jpg,Public domain,"Duane Raver, U.S. Fish and Wildlife Service",2026-07-23T15:44:01.699Z,2026-07-24T13:09:54.610Z
wikimedia-commons-a09f2f7c26,brown-trout,Brown Trout,Salmo trutta,adult,true,,false,./images/species/brown-trout/adult-2.jpg,staging/images/brown-trout/unknown/wikimedia-commons-a09f2f7c26.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASalmo_trutta.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Salmo_trutta.jpg/1280px-Salmo_trutta.jpg,Public domain,Eric Engbretson for U.S. Fish and Wildlife Service,2026-07-23T15:46:21.524Z,2026-07-24T13:10:07.122Z
wikimedia-commons-e95fd0b4f9,brown-trout,Brown Trout,Salmo trutta,adult,true,,false,./images/species/brown-trout/adult-3.jpg,staging/images/brown-trout/unknown/wikimedia-commons-e95fd0b4f9.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ABrown_trout_in_Tierra_del_Fuego%2C_Chile.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Brown_trout_in_Tierra_del_Fuego%2C_Chile.jpg/1280px-Brown_trout_in_Tierra_del_Fuego%2C_Chile.jpg,CC BY-SA 2.0,Oregon State University,2026-07-23T15:46:59.300Z,2026-07-24T13:10:13.874Z
gbif-cf80caa345,brown-trout,Brown Trout,Salmo trutta,adult,true,,false,./images/species/brown-trout/adult-4.jpg,staging/images/brown-trout/adult/gbif-cf80caa345.jpg,gbif,https://www.gbif.org/occurrence/5938278557,https://inaturalist-open-data.s3.amazonaws.com/photos/605248237/original.jpg,CC BY-NC 4.0,bevo2020,2026-07-23T15:50:13.152Z,2026-07-24T13:10:00.777Z
gbif-2b8ca6aff1,brown-trout,Brown Trout,Salmo trutta,unknown,false,approved but no life stage assigned yet — re-review and set a stage,false,,staging/images/brown-trout/unknown/gbif-2b8ca6aff1.jpg,gbif,https://www.gbif.org/occurrence/5938254015,https://inaturalist-open-data.s3.amazonaws.com/photos/605452961/original.jpg,CC BY-NC 4.0,Joe,2026-07-23T15:49:57.179Z,2026-07-24T13:10:29.850Z
wikimedia-commons-acb8676e4a,rainbow-trout,Rainbow Trout,Oncorhynchus mykiss,adult,true,,true,./images/species/rainbow-trout/adult-1.jpg,staging/images/rainbow-trout/adult/wikimedia-commons-acb8676e4a.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ARainbow_trout_FWS_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Rainbow_trout_FWS_1.jpg/1280px-Rainbow_trout_FWS_1.jpg,Public domain,"Knepp, Timothy - U.S. Fish and Wildlife Service",2026-07-23T15:53:26.579Z,2026-07-24T13:10:36.272Z
gbif-8e1bfafe29,rainbow-trout,Rainbow Trout,Oncorhynchus mykiss,adult,true,,false,./images/species/rainbow-trout/adult-2.jpg,staging/images/rainbow-trout/adult/gbif-8e1bfafe29.jpg,gbif,https://www.gbif.org/occurrence/5938618095,https://inaturalist-open-data.s3.amazonaws.com/photos/605274008/original.jpg,CC BY-NC 4.0,Josh Woodsworth,2026-07-23T15:58:52.283Z,2026-07-24T13:10:40.360Z
wikimedia-commons-ec88bbd336,rainbow-trout,Rainbow Trout,Oncorhynchus mykiss,unknown,false,approved but no life stage assigned yet — re-review and set a stage,false,,staging/images/rainbow-trout/unknown/wikimedia-commons-ec88bbd336.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ARainbow_Trout_(Oncorhynchus_mykiss)_Gavins_Point.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Rainbow_Trout_%28Oncorhynchus_mykiss%29_Gavins_Point.jpg/1280px-Rainbow_Trout_%28Oncorhynchus_mykiss%29_Gavins_Point.jpg,Public domain,USFWS Mountain Prairie,2026-07-23T15:58:02.477Z,2026-07-24T13:10:53.031Z
wikimedia-commons-4395706f44,lake-trout,Lake Trout,Salvelinus namaycush,adult,true,,true,./images/species/lake-trout/adult-1.jpg,staging/images/lake-trout/adult/wikimedia-commons-4395706f44.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ALake_trout_fishes_salvelinus_namaycush.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Lake_trout_fishes_salvelinus_namaycush.jpg/1280px-Lake_trout_fishes_salvelinus_namaycush.jpg,Public domain,"Knepp Timothy, U.S. Fish and Wildlife Service",2026-07-23T16:02:20.316Z,2026-07-24T13:11:01.177Z
wikimedia-commons-ae0df8aab4,lake-trout,Lake Trout,Salvelinus namaycush,adult,true,,false,./images/species/lake-trout/adult-2.png,staging/images/lake-trout/unknown/wikimedia-commons-ae0df8aab4.png,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AIron_River_NFH_lake_trout_6_March_2024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Iron_River_NFH_lake_trout_6_March_2024.png/1280px-Iron_River_NFH_lake_trout_6_March_2024.png,Public domain,USFWS,2026-07-23T16:05:46.198Z,2026-07-24T13:12:56.375Z
gbif-6a4c53754c,lake-trout,Lake Trout,Salvelinus namaycush,adult,true,,false,./images/species/lake-trout/adult-3.jpg,staging/images/lake-trout/adult/gbif-6a4c53754c.jpg,gbif,https://www.gbif.org/occurrence/6441041443,https://inaturalist-open-data.s3.amazonaws.com/photos/695189034/original.jpg,CC BY-NC 4.0,emeraldamiaocellicauda,2026-07-23T16:08:04.729Z,2026-07-24T13:11:06.287Z
gbif-b641460277,lake-trout,Lake Trout,Salvelinus namaycush,adult,true,,false,./images/species/lake-trout/adult-4.jpg,staging/images/lake-trout/unknown/gbif-b641460277.jpg,gbif,https://www.gbif.org/occurrence/6195452358,https://inaturalist-open-data.s3.amazonaws.com/photos/637088733/original.jpg,CC BY-NC 4.0,Ellie,2026-07-23T16:08:12.549Z,2026-07-24T13:11:20.663Z
gbif-e931defedf,lake-trout,Lake Trout,Salvelinus namaycush,juvenile,true,,false,./images/species/lake-trout/juvenile-1.jpg,staging/images/lake-trout/juvenile/gbif-e931defedf.jpg,gbif,https://www.gbif.org/occurrence/6159366989,https://inaturalist-open-data.s3.amazonaws.com/photos/616232511/original.jpg,CC BY-NC 4.0,Drew,2026-07-23T16:07:36.489Z,2026-07-24T13:13:04.736Z
wikimedia-commons-eb22f003d5,chain-pickerel,Chain Pickerel,Esox niger,adult,true,,true,./images/species/chain-pickerel/adult-1.png,staging/images/chain-pickerel/adult/wikimedia-commons-eb22f003d5.png,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AChain_pickerel_(Duane_Raver).png,https://upload.wikimedia.org/wikipedia/commons/3/38/Chain_pickerel_%28Duane_Raver%29.png,Public domain,"Raver Duane, U.S. Fish and Wildlife Service",2026-07-23T16:10:25.681Z,2026-07-24T13:13:26.406Z
wikimedia-commons-81ebbc0557,chain-pickerel,Chain Pickerel,Esox niger,adult,true,,false,./images/species/chain-pickerel/adult-2.jpg,staging/images/chain-pickerel/unknown/wikimedia-commons-81ebbc0557.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AEsox_niger_imported_from_iNaturalist_photo_48309563_on_14_January_2020.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Esox_niger_imported_from_iNaturalist_photo_48309563_on_14_January_2020.jpg/1280px-Esox_niger_imported_from_iNaturalist_photo_48309563_on_14_January_2020.jpg,CC BY 4.0,"(c) Ken-ichi Ueda, some rights reserved (CC BY)",2026-07-23T16:13:12.604Z,2026-07-24T13:13:47.255Z
gbif-04a9191b58,chain-pickerel,Chain Pickerel,Esox niger,adult,true,,false,./images/species/chain-pickerel/adult-3.jpg,staging/images/chain-pickerel/adult/gbif-04a9191b58.jpg,gbif,https://www.gbif.org/occurrence/5938263520,https://inaturalist-open-data.s3.amazonaws.com/photos/605418316/original.jpg,CC BY-NC 4.0,otofrog,2026-07-23T16:13:27.698Z,2026-07-24T13:13:28.398Z
gbif-88cbefa647,chain-pickerel,Chain Pickerel,Esox niger,adult,true,,false,./images/species/chain-pickerel/adult-4.jpg,staging/images/chain-pickerel/adult/gbif-88cbefa647.jpg,gbif,https://www.gbif.org/occurrence/6159256419,https://inaturalist-open-data.s3.amazonaws.com/photos/614592052/original.jpg,CC BY-NC 4.0,brianarob,2026-07-23T16:14:01.007Z,2026-07-24T13:13:35.206Z
wikimedia-commons-a1135e6e51,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,adult,true,,true,./images/species/smallmouth-bass/adult-1.png,staging/images/smallmouth-bass/adult/wikimedia-commons-a1135e6e51.png,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASmallmouth_bass.png,https://upload.wikimedia.org/wikipedia/commons/d/d0/Smallmouth_bass.png,Public domain,"Ianaré Sévi (for modifications only)
Duane Raver, U.S. Fish and Wildlife Service",2026-07-23T16:17:01.249Z,2026-07-24T13:13:58.854Z
wikimedia-commons-bdc8694196,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,adult,true,,false,./images/species/smallmouth-bass/adult-2.jpg,staging/images/smallmouth-bass/unknown/wikimedia-commons-bdc8694196.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AMicropterus_dolomieu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Micropterus_dolomieu.jpg/1280px-Micropterus_dolomieu.jpg,Public domain,"Eric Engbretson, U.S. Fish and Wildlife Service",2026-07-23T16:18:28.536Z,2026-07-24T13:14:31.198Z
wikimedia-commons-531dc1a3ff,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,adult,true,,false,./images/species/smallmouth-bass/adult-3.jpg,staging/images/smallmouth-bass/unknown/wikimedia-commons-531dc1a3ff.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3ASmallmouth_Bass_(Micropterus_dolomieu).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Smallmouth_Bass_%28Micropterus_dolomieu%29.jpg/1280px-Smallmouth_Bass_%28Micropterus_dolomieu%29.jpg,Public domain,USFWS Mountain Prairie,2026-07-23T16:20:45.480Z,2026-07-24T13:14:41.837Z
gbif-20c0145c22,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,adult,true,,false,./images/species/smallmouth-bass/adult-4.jpg,staging/images/smallmouth-bass/adult/gbif-20c0145c22.jpg,gbif,https://www.gbif.org/occurrence/6129831845,https://inaturalist-open-data.s3.amazonaws.com/photos/606557528/original.jpg,CC BY-NC 4.0,David Sanderson-Kilchenstein,2026-07-23T16:21:43.017Z,2026-07-24T13:14:07.118Z
gbif-d3e500fb64,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,juvenile,true,,false,./images/species/smallmouth-bass/juvenile-1.jpg,staging/images/smallmouth-bass/juvenile/gbif-d3e500fb64.jpg,gbif,https://www.gbif.org/occurrence/6131012170,https://inaturalist-open-data.s3.amazonaws.com/photos/607765283/original.jpg,CC BY-NC 4.0,Oscar Upson,2026-07-23T16:22:07.208Z,2026-07-24T13:14:11.124Z
gbif-4afdcc4a86,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,juvenile,true,,false,./images/species/smallmouth-bass/juvenile-2.jpg,staging/images/smallmouth-bass/juvenile/gbif-4afdcc4a86.jpg,gbif,https://www.gbif.org/occurrence/6131012170,https://inaturalist-open-data.s3.amazonaws.com/photos/607765280/original.jpg,CC BY-NC 4.0,Oscar Upson,2026-07-23T16:22:15.252Z,2026-07-24T13:14:13.964Z
gbif-ed9d3b3707,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,juvenile,true,,false,./images/species/smallmouth-bass/juvenile-3.jpg,staging/images/smallmouth-bass/juvenile/gbif-ed9d3b3707.jpg,gbif,https://www.gbif.org/occurrence/6131012170,https://inaturalist-open-data.s3.amazonaws.com/photos/607765284/original.jpg,CC BY-NC 4.0,Oscar Upson,2026-07-23T16:22:19.228Z,2026-07-24T13:14:15.297Z
gbif-50434f55f6,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,juvenile,true,,false,./images/species/smallmouth-bass/juvenile-4.jpg,staging/images/smallmouth-bass/juvenile/gbif-50434f55f6.jpg,gbif,https://www.gbif.org/occurrence/6131012170,https://inaturalist-open-data.s3.amazonaws.com/photos/607765286/original.jpg,CC BY-NC 4.0,Oscar Upson,2026-07-23T16:22:23.259Z,2026-07-24T13:14:16.263Z
gbif-1fa66d489d,smallmouth-bass,Smallmouth Bass,Micropterus dolomieu,juvenile,true,,false,./images/species/smallmouth-bass/juvenile-5.jpg,staging/images/smallmouth-bass/juvenile/gbif-1fa66d489d.jpg,gbif,https://www.gbif.org/occurrence/6131012170,https://inaturalist-open-data.s3.amazonaws.com/photos/607765297/original.jpg,CC BY-NC 4.0,Oscar Upson,2026-07-23T16:22:27.227Z,2026-07-24T13:14:17.518Z
wikimedia-commons-4414d40055,striped-bass,Striped Bass,Morone saxatilis,adult,true,,true,./images/species/striped-bass/adult-1.jpg,staging/images/striped-bass/adult/wikimedia-commons-4414d40055.jpg,wikimedia-commons,https://commons.wikimedia.org/wiki/File%3AStriped_bass_FWS_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Striped_bass_FWS_1.jpg/1280px-Striped_bass_FWS_1.jpg,Public domain,Timothy Knepp,2026-07-23T16:25:04.748Z,2026-07-24T13:14:48.372Z
